CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11154,MS.,MEGAN,WALKER,1976-08-21,S,F,megan25@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,Y
11156,MS.,MARIA,ROBERTS,1976-02-07,S,F,maria47@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,N
11157,MS.,HANNAH,LONG,1975-06-11,M,F,hannah32@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,Y
11160,MR.,MAURICE,TANG,1974-01-08,S,M,maurice4@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,N
11161,MS.,EMILY,WOOD,1974-04-22,S,F,emily27@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,N
11164,MR.,DEVIN,BROOKS,1974-05-05,S,M,devin63@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,N
11165,MS.,JOCELYN,ALEXANDER,1973-07-18,M,F,jocelyn18@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,N
11170,MRS.,CAROL,HOWARD,1968-02-05,M,F,carol5@adventure-works.com,"$90,000 ",4,Bachelors,Management,Y
11175,MR.,LUIS,WANG,1963-03-05,S,M,luis24@adventure-works.com,"$70,000 ",0,Partial College,Skilled Manual,Y
11176,MR.,MASON,ROBERTS,1968-01-25,M,M,mason25@adventure-works.com,"$90,000 ",4,Bachelors,Management,Y
11177,MR.,JOSE,FLORES,1942-07-04,M,M,jose6@adventure-works.com,"$110,000 ",2,Graduate Degree,Management,Y
11178,MR.,NATHAN,JOHNSON,1943-08-24,M,M,nathan55@adventure-works.com,"$100,000 ",2,Graduate Degree,Management,Y
11179,MRS.,MOLLY,RODRIGUEZ,1943-06-14,M,F,molly18@adventure-works.com,"$120,000 ",2,Graduate Degree,Management,Y
11180,MRS.,APRIL,ANAND,1943-01-02,M,F,april18@adventure-works.com,"$160,000 ",1,Bachelors,Management,Y
11181,MR.,DEVIN,MARTIN,1943-08-08,M,M,devin13@adventure-works.com,"$170,000 ",2,Graduate Degree,Management,Y
11183,MRS.,JASMINE,LEE,1944-07-15,S,F,jasmine19@adventure-works.com,"$70,000 ",4,Bachelors,Management,Y
11188,MRS.,CATHERINE,MORRIS,1944-09-06,M,F,catherine16@adventure-works.com,"$60,000 ",4,Graduate Degree,Management,N
11192,MR.,JAMES,BROWN,1945-09-13,M,M,james79@adventure-works.com,"$60,000 ",4,Bachelors,Management,Y
11195,MRS.,MEGAN,HENDERSON,1946-02-10,M,F,megan55@adventure-works.com,"$60,000 ",5,Bachelors,Management,Y
11198,MRS.,BROOKE,SANDERS,1946-11-26,S,F,brooke3@adventure-works.com,"$70,000 ",4,Bachelors,Management,Y
11199,MRS.,JACQUELINE,BENNETT,1946-11-06,M,F,jacqueline1@adventure-works.com,"$70,000 ",4,Bachelors,Management,Y
11200,MR.,JASON,GRIFFIN,1947-11-22,M,M,jason18@adventure-works.com,"$70,000 ",4,Bachelors,Management,Y
11201,MRS.,AMANDA,FOSTER,1947-08-18,M,F,amanda37@adventure-works.com,"$70,000 ",4,Bachelors,Management,Y
11206,MR.,BLAKE,FLORES,1948-09-24,M,M,blake60@adventure-works.com,"$60,000 ",2,Partial College,Professional,Y
11208,MRS.,MARIA,REED,1948-02-04,M,F,maria4@adventure-works.com,"$60,000 ",2,Bachelors,Management,Y
11210,MR.,EDWARD,WOOD,1948-06-08,M,M,edward50@adventure-works.com,"$70,000 ",4,Partial College,Professional,Y
11212,MRS.,CHLOE,CAMPBELL,1949-11-05,M,F,chloe4@adventure-works.com,"$40,000 ",2,High School,Professional,Y
11213,MRS.,STEPHANIE,MURPHY,1949-05-14,S,F,stephanie11@adventure-works.com,"$60,000 ",2,Partial College,Professional,Y
11215,MRS.,ANA,PERRY,1950-06-21,M,F,ana7@adventure-works.com,"$40,000 ",2,Partial High School,Skilled Manual,Y
11226,MRS.,SYDNEY,ROSS,1951-09-27,M,F,sydney26@adventure-works.com,"$60,000 ",2,Partial College,Professional,Y
11229,MR.,ADRIAN,STEWART,1951-12-03,S,M,adrian21@adventure-works.com,"$70,000 ",4,Partial College,Professional,Y
11232,MRS.,HAILEY,BRYANT,1952-09-27,M,F,hailey38@adventure-works.com,"$60,000 ",3,High School,Professional,N
11235,MR.,ANGEL,STEWART,1952-02-08,M,M,angel24@adventure-works.com,"$70,000 ",4,Partial College,Professional,Y
11236,MR.,JEREMY,BUTLER,1952-03-05,S,M,jeremy29@adventure-works.com,"$70,000 ",5,Partial College,Professional,Y
11242,MR.,LARRY,MUNOZ,1957-11-11,M,M,larry9@adventure-works.com,"$110,000 ",2,Partial College,Professional,Y
11243,MRS.,ROBIN,ALVAREZ,1957-10-09,M,F,robin2@adventure-works.com,"$150,000 ",2,Partial College,Professional,Y
11244,MRS.,ALEXIS,COLEMAN,1957-11-26,S,F,alexis28@adventure-works.com,"$170,000 ",2,Bachelors,Management,N
11245,MR.,RICKY,VAZQUEZ,1956-10-27,M,M,ricky15@adventure-works.com,"$120,000 ",3,High School,Professional,N
11252,MR.,NICHOLAS,THOMPSON,1932-06-07,S,M,nicholas16@adventure-works.com,"$90,000 ",3,Graduate Degree,Management,Y
11253,MR.,JOS�,HERNANDEZ,1933-02-28,M,M,jos�54@adventure-works.com,"$60,000 ",2,Graduate Degree,Management,Y
11254,MR.,JOHNATHAN,VANCE,1933-03-03,M,M,johnathan5@adventure-works.com,"$70,000 ",4,Graduate Degree,Management,Y
11255,MR.,COLIN,LIN,1933-04-04,M,M,colin8@adventure-works.com,"$70,000 ",4,Graduate Degree,Management,Y
11257,MRS.,JACQUELINE,POWELL,1933-01-06,S,F,jacqueline9@adventure-works.com,"$120,000 ",1,Graduate Degree,Management,Y
11259,MRS.,VICTORIA,STEWART,1965-03-27,M,F,victoria24@adventure-works.com,"$100,000 ",4,Partial College,Professional,Y
11260,MRS.,KATELYN,KELLY,1965-04-12,M,F,katelyn1@adventure-works.com,"$110,000 ",2,Bachelors,Management,Y
11262,MRS.,JENNIFER,SIMMONS,1964-05-04,M,F,jennifer88@adventure-works.com,"$80,000 ",4,Bachelors,Management,Y
11263,MRS.,TRINITY,RICHARDSON,1964-09-11,M,F,trinity9@adventure-works.com,"$90,000 ",5,Partial College,Professional,Y
11267,MR.,DAVID,DIAZ,1964-10-02,S,M,david55@adventure-works.com,"$120,000 ",4,Partial College,Professional,Y
11269,MR.,RYAN,FOSTER,1964-10-13,M,M,ryan19@adventure-works.com,"$130,000 ",2,Graduate Degree,Management,Y
11272,MRS.,LAUREN,MARTINEZ,1956-11-10,S,F,lauren35@adventure-works.com,"$70,000 ",4,Partial College,Professional,Y
11274,MR.,KYLE,FOSTER,1934-04-12,M,M,kyle11@adventure-works.com,"$50,000 ",2,Graduate Degree,Management,Y
11276,MRS.,NANCY,CHAPMAN,1963-09-19,M,F,nancy7@adventure-works.com,"$80,000 ",4,Partial College,Professional,Y
11277,MR.,CHARLES,JACKSON,1963-06-10,M,M,charles15@adventure-works.com,"$80,000 ",4,Partial College,Professional,Y
11279,MS.,AMANDA,COOK,1963-09-12,M,F,amanda3@adventure-works.com,"$90,000 ",0,Partial College,Professional,Y
11280,MR.,ROBERT,COLLINS,1963-08-21,M,M,robert45@adventure-works.com,"$90,000 ",0,Partial College,Professional,Y
11281,MRS.,MEGAN,BARNES,1963-10-10,S,F,megan53@adventure-works.com,"$110,000 ",4,Bachelors,Management,Y
11283,MR.,ARTURO,LAL,1962-10-26,M,M,arturo33@adventure-works.com,"$110,000 ",1,Bachelors,Management,Y
11285,MR.,JEREMY,ANDERSON,1962-03-19,M,M,jeremy2@adventure-works.com,"$120,000 ",1,Partial College,Professional,N
11287,MR.,HENRY,GARCIA,1961-01-16,M,M,henry16@adventure-works.com,"$70,000 ",5,Partial College,Professional,N
11289,MRS.,MARIA,CARTER,1961-03-07,M,F,maria53@adventure-works.com,"$130,000 ",1,Bachelors,Management,Y
11292,MR.,SETH,PHILLIPS,1961-11-05,S,M,seth42@adventure-works.com,"$150,000 ",1,Partial College,Professional,N
11294,MR.,DALTON,CLARK,1955-09-03,M,M,dalton18@adventure-works.com,"$60,000 ",2,High School,Professional,N
11296,MRS.,HALEY,RICHARDSON,1935-10-07,S,F,haley10@adventure-works.com,"$50,000 ",2,Graduate Degree,Management,Y
11297,MR.,NOAH,COLEMAN,1935-02-02,S,M,noah2@adventure-works.com,"$70,000 ",4,Graduate Degree,Management,Y
11307,MR.,HUNTER,RODRIGUEZ,1954-11-04,M,M,hunter53@adventure-works.com,"$80,000 ",2,Partial High School,Skilled Manual,Y
11309,MRS.,VICTORIA,LEWIS,1954-06-12,S,F,victoria20@adventure-works.com,"$60,000 ",2,High School,Professional,Y
11310,MRS.,ERIN,SANDERS,1953-07-09,S,F,erin7@adventure-works.com,"$70,000 ",3,Graduate Degree,Management,Y
11312,MRS.,SARA,RICHARDSON,1953-04-03,S,F,sara10@adventure-works.com,"$70,000 ",3,Graduate Degree,Management,Y
11315,MRS.,HAILEY,WARD,1953-10-01,S,F,hailey12@adventure-works.com,"$70,000 ",3,Graduate Degree,Management,N
11316,MR.,LUKE,ALLEN,1953-11-17,M,M,luke52@adventure-works.com,"$60,000 ",3,Graduate Degree,Management,Y
11321,MR.,TERRANCE,RAMAN,1938-07-08,M,M,terrance9@adventure-works.com,"$90,000 ",5,Bachelors,Management,Y
11323,MR.,JOSE,PATTERSON,1938-06-20,S,M,jose33@adventure-works.com,"$120,000 ",2,Graduate Degree,Management,Y
11324,MR.,ZACHARY,ANDERSON,1939-05-14,M,M,zachary39@adventure-works.com,"$90,000 ",5,Bachelors,Management,Y
11327,MR.,JAIME,MORENO,1940-03-04,M,M,jaime48@adventure-works.com,"$90,000 ",5,Bachelors,Management,Y
11328,MR.,JULIAN,GRIFFIN,1940-01-01,M,M,julian20@adventure-works.com,"$90,000 ",5,Bachelors,Management,Y
11329,MR.,ANDY,ALVAREZ,1940-07-25,S,M,andy9@adventure-works.com,"$90,000 ",5,Bachelors,Management,Y
11332,MRS.,DEANNA,RAMOS,1962-10-04,S,F,deanna44@adventure-works.com,"$10,000 ",1,Graduate Degree,Manual,Y
11333,MRS.,EMILY,MILLER,1962-07-10,M,F,emily6@adventure-works.com,"$20,000 ",1,Graduate Degree,Clerical,Y
11338,MR.,FRANK,NAVARRO,1961-08-10,M,M,frank17@adventure-works.com,"$20,000 ",1,Graduate Degree,Clerical,Y
11339,MR.,DENNIS,SHE,1961-07-08,S,M,dennis25@adventure-works.com,"$20,000 ",1,Graduate Degree,Clerical,Y
11340,MRS.,MELODY,MUNOZ,1936-04-06,M,F,melody8@adventure-works.com,"$10,000 ",1,Graduate Degree,Clerical,Y
11341,MR.,RANDY,ZENG,1936-08-21,M,M,randy24@adventure-works.com,"$20,000 ",1,Graduate Degree,Clerical,Y
11342,MR.,MARSHALL,WANG,1962-03-11,M,M,marshall0@adventure-works.com,"$30,000 ",5,Graduate Degree,Clerical,Y
11346,MRS.,DEANNA,GUTIERREZ,1955-05-22,S,F,deanna37@adventure-works.com,"$10,000 ",2,Partial College,Manual,Y
11347,MR.,ROY,NAVARRO,1955-12-23,M,M,roy30@adventure-works.com,"$10,000 ",2,Partial College,Manual,Y
11348,MR.,SHAWN,RAI,1955-09-22,M,M,shawn19@adventure-works.com,"$10,000 ",2,Partial College,Manual,Y
11354,MRS.,DEANNA,SUAREZ,1942-02-23,M,F,deanna45@adventure-works.com,"$20,000 ",1,Partial College,Manual,Y
11355,MR.,ROBERTO,GUTIERREZ,1942-12-28,M,M,roberto11@adventure-works.com,"$40,000 ",1,Graduate Degree,Clerical,Y
11359,MR.,JARROD,PRASAD,1978-09-04,S,M,jarrod9@adventure-works.com,"$10,000 ",0,Partial College,Manual,N
11360,MR.,TYRONE,SERRANO,1978-08-02,S,M,tyrone15@adventure-works.com,"$10,000 ",0,Partial College,Manual,Y
11362,MR.,DAMIEN,SHAN,1977-11-11,M,M,damien26@adventure-works.com,"$10,000 ",0,High School,Manual,N
11363,MR.,JULIAN,ROSS,1977-10-20,S,M,julian5@adventure-works.com,"$10,000 ",0,High School,Manual,N
11365,MRS.,BRITTNEY,SUN,1979-06-09,S,F,brittney12@adventure-works.com,"$10,000 ",1,High School,Manual,N
11366,MS.,VIRGINIA,PATEL,1979-10-25,M,F,virginia4@adventure-works.com,"$20,000 ",0,Bachelors,Clerical,Y
11367,MR.,CALVIN,NARA,1979-02-22,M,M,calvin15@adventure-works.com,"$20,000 ",0,Bachelors,Clerical,Y
11369,MS.,ASHLEE,TANG,1978-08-04,M,F,ashlee11@adventure-works.com,"$20,000 ",0,Bachelors,Clerical,N
11370,MS.,ALICIA,XU,1978-04-01,M,F,alicia3@adventure-works.com,"$20,000 ",0,Bachelors,Clerical,Y
11371,MS.,LACEY,JAI,1978-05-27,M,F,lacey1@adventure-works.com,"$20,000 ",0,Bachelors,Clerical,Y
11379,MR.,GARY,VAZQUEZ,1959-11-18,M,M,gary25@adventure-works.com,"$10,000 ",1,High School,Manual,Y
11381,MRS.,MEREDITH,RAMAN,1959-08-22,M,F,meredith11@adventure-works.com,"$20,000 ",2,Partial College,Manual,Y
11384,MRS.,TIFFANY,WANG,1960-10-16,M,F,tiffany1@adventure-works.com,"$30,000 ",3,Bachelors,Clerical,Y
11385,MR.,MIGUEL,ALLEN,1960-08-11,S,M,miguel24@adventure-works.com,"$30,000 ",3,Bachelors,Clerical,Y
11389,MR.,KARL,SHAN,1970-04-24,S,M,karl11@adventure-works.com,"$10,000 ",1,High School,Manual,N
11392,MR.,WILLIE,ZHAO,1970-02-07,S,M,willie8@adventure-works.com,"$10,000 ",2,High School,Manual,Y
11394,MR.,GEORGE,MCDONALD,1969-10-23,S,M,george13@adventure-works.com,"$10,000 ",2,High School,Manual,Y
11395,MS.,BETH,GUTIERREZ,1970-10-18,S,F,beth13@adventure-works.com,"$30,000 ",0,Bachelors,Clerical,Y
11396,MR.,IAN,LOPEZ,1969-10-05,M,M,ian27@adventure-works.com,"$10,000 ",2,High School,Manual,N
11397,MS.,LATOYA,SHAN,1969-06-04,S,F,latoya9@adventure-works.com,"$20,000 ",0,Partial College,Manual,N
11398,MR.,COLIN,NATH,1969-09-09,S,M,colin41@adventure-works.com,"$30,000 ",0,Bachelors,Clerical,Y
11401,MS.,LINDA,NAVARRO,1969-08-26,M,F,linda25@adventure-works.com,"$40,000 ",0,Graduate Degree,Clerical,Y
11402,MS.,KELLI,CAI,1969-11-20,M,F,kelli21@adventure-works.com,"$40,000 ",0,Graduate Degree,Clerical,Y
11404,MRS.,MEGAN,TAYLOR,1952-01-01,S,F,megan12@adventure-works.com,"$10,000 ",3,Partial College,Manual,N
11405,MRS.,BONNIE,GOEL,1952-02-17,S,F,bonnie25@adventure-works.com,"$10,000 ",3,Partial College,Manual,N
11406,MRS.,LATOYA,XU,1952-07-03,M,F,latoya4@adventure-works.com,"$20,000 ",2,Partial College,Manual,Y
11412,MRS.,SYDNEY,BRYANT,1954-04-09,S,F,sydney40@adventure-works.com,"$80,000 ",4,Partial College,Professional,Y
11414,MR.,IAN,RICHARDSON,1954-03-18,S,M,ian76@adventure-works.com,"$80,000 ",4,Partial College,Professional,Y
11415,MR.,RANDY,SHE,1944-06-05,S,M,randy25@adventure-works.com,"$90,000 ",5,Partial College,Professional,N
11416,MRS.,KATRINA,BECKER,1945-03-19,M,F,katrina19@adventure-works.com,"$60,000 ",3,Partial High School,Skilled Manual,Y
11417,MRS.,LACEY,ZHENG,1945-02-26,M,F,lacey32@adventure-works.com,"$70,000 ",5,High School,Professional,Y
11418,MR.,RAFAEL,HU,1945-02-09,S,M,rafael20@adventure-works.com,"$90,000 ",5,Partial College,Professional,N
11419,MR.,KYLE,SCOTT,1945-02-18,M,M,kyle43@adventure-works.com,"$150,000 ",3,Graduate Degree,Management,Y
11422,MR.,DUSTIN,DENG,1946-09-01,M,M,dustin1@adventure-works.com,"$170,000 ",4,Bachelors,Management,Y
11424,MRS.,PAMELA,GARCIA,1953-12-07,M,F,pamela18@adventure-works.com,"$80,000 ",4,Partial College,Professional,Y
11426,MR.,KRISTOPHER,MEHTA,1953-10-02,M,M,kristopher12@adventure-works.com,"$110,000 ",3,Bachelors,Management,Y
11428,MRS.,DEANNA,PEREZ,1953-08-22,S,F,deanna24@adventure-works.com,"$120,000 ",2,Bachelors,Management,Y
11429,MR.,MARCO,LOPEZ,1952-07-16,M,M,marco17@adventure-works.com,"$80,000 ",4,Partial College,Professional,Y
11430,MRS.,CASEY,YUAN,1952-03-24,M,F,casey7@adventure-works.com,"$90,000 ",4,High School,Professional,Y
11432,MRS.,DOMINIQUE,PRASAD,1951-09-11,M,F,dominique7@adventure-works.com,"$80,000 ",4,High School,Professional,Y
11433,MR.,MAURICE,SHAN,1951-09-02,M,M,maurice11@adventure-works.com,"$80,000 ",5,High School,Professional,N
11434,MR.,ANDRE,LOPEZ,1951-05-06,M,M,andre16@adventure-works.com,"$170,000 ",5,Partial College,Professional,Y
11436,MRS.,TAYLOR,COX,1950-09-18,M,F,taylor13@adventure-works.com,"$160,000 ",3,Partial College,Management,N
11439,MRS.,JANET,MUNOZ,1948-05-17,M,F,janet12@adventure-works.com,"$90,000 ",4,High School,Management,N
11444,MS.,TINA,MEHTA,1976-04-28,M,F,tina15@adventure-works.com,"$70,000 ",0,Bachelors,Professional,Y
11447,MS.,JENNIFER,ROBERTS,1974-08-16,M,F,jennifer15@adventure-works.com,"$70,000 ",0,Bachelors,Professional,Y
11450,MR.,BRETT,MEHTA,1975-11-12,S,M,brett13@adventure-works.com,"$130,000 ",4,High School,Management,Y
11451,MR.,RUBEN,MU�OZ,1974-11-09,S,M,ruben30@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N
11453,MR.,STANLEY,MALHOTRA,1973-08-21,S,M,stanley5@adventure-works.com,"$80,000 ",0,Bachelors,Professional,N
11455,MR.,ROSS,SANZ,1974-04-21,M,M,ross38@adventure-works.com,"$100,000 ",0,High School,Management,Y
11457,MS.,JAIME,GUTIERREZ,1973-05-21,M,F,jaime12@adventure-works.com,"$90,000 ",0,Bachelors,Professional,Y
11462,MS.,LAURA,LIN,1972-01-19,M,F,laura14@adventure-works.com,"$110,000 ",0,High School,Management,Y
11464,MR.,ALEJANDRO,HUANG,1971-11-16,M,M,alejandro8@adventure-works.com,"$90,000 ",0,Bachelors,Professional,Y
11466,MR.,GRANT,TANG,1971-08-03,M,M,grant6@adventure-works.com,"$150,000 ",0,Partial High School,Management,Y
11468,MRS.,JACLYN,ANDERSEN,1975-06-18,M,F,jaclyn37@adventure-works.com,"$40,000 ",1,Bachelors,Skilled Manual,Y
11471,MS.,LATASHA,SUAREZ,1973-09-25,S,F,latasha19@adventure-works.com,"$30,000 ",0,Partial College,Clerical,Y
11472,MR.,KENNETH,KUMAR,1963-04-03,S,M,kenneth7@adventure-works.com,"$60,000 ",3,Bachelors,Professional,Y
11480,MRS.,COLLEEN,MA,1973-03-11,M,F,colleen16@adventure-works.com,"$40,000 ",1,Bachelors,Skilled Manual,Y
11481,MRS.,ERICA,HU,1973-05-23,M,F,erica19@adventure-works.com,"$40,000 ",1,Bachelors,Skilled Manual,Y
11486,MS.,ARIANA,ROGERS,1971-05-25,S,F,ariana17@adventure-works.com,"$10,000 ",0,Partial High School,Manual,Y
11491,MR.,ANDRE,PEREZ,1971-04-06,M,M,andre20@adventure-works.com,"$20,000 ",0,Partial High School,Manual,N
11492,MR.,TERRENCE,CHANDER,1971-11-19,S,M,terrence16@adventure-works.com,"$30,000 ",0,High School,Manual,N
11493,MRS.,DAWN,WU,1970-12-02,S,F,dawn8@adventure-works.com,"$40,000 ",2,Partial College,Clerical,Y
11499,MR.,PEDRO,VANCE,1974-11-14,S,M,pedro4@adventure-works.com,"$40,000 ",3,Partial College,Clerical,Y
11503,MR.,DENNIS,WU,1930-10-13,M,M,dennis8@adventure-works.com,"$50,000 ",1,Graduate Degree,Skilled Manual,Y
11504,MRS.,JORDAN,BAKER,1931-04-20,M,F,jordan45@adventure-works.com,"$40,000 ",1,Bachelors,Skilled Manual,Y
11506,MR.,NICHOLAS,BROWN,1966-05-17,S,M,nicholas6@adventure-works.com,"$60,000 ",0,Graduate Degree,Skilled Manual,N
11507,MS.,ISABELLA,RUSSELL,1966-11-20,S,F,isabella30@adventure-works.com,"$60,000 ",0,Graduate Degree,Skilled Manual,Y
11508,MS.,ELIZABETH,WILSON,1966-07-07,S,F,elizabeth11@adventure-works.com,"$60,000 ",0,Graduate Degree,Skilled Manual,Y
